Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank,Year,Institute_ID,UG_Students,Total_Students,Capital_Expenditure,Operational_Expenditure,Total_Expenditure,WOS_Publications,WOS_Citations,Scopus_Publications
IR-O-U-0490,Vellore Institute of Technology,48.7,47.63,66.55,57.02,35.31,Vellore,Tamil Nadu,51.44,32,2019,IR-E-U-0490,6283.0,6283.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-I-1357,University of Madras,64.29,33.28,68.26,54.18,30.01,Chennai,Tamil Nadu,51.34,33,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0078,Panjab University,51.02,44.82,72.5,52.89,27.09,Chandigarh,Chandigarh,51.25,34,2019,IR-E-U-0078,836.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0260,Kerala University,74.8,18.84,85.7,51.2,8.59,Thiruvananthapuram,Kerala,51.21,35,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0584,Indian Institute of Engineering Science and Technology,62.98,36.74,66.47,47.19,30.41,Shibpur,West Bengal,50.96,36,2019,IR-E-U-0584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0272,Indian Institute of Science Education & Research Bhopal,68.8,31.49,65.92,68.21,7.91,Bhopal,Madhya Pradesh,50.88,37,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0357,National Institute of Technology Rourkela,54.23,45.65,68.68,45.97,24.4,Rourkela,Odisha,50.75,38,2019,IR-E-U-0357,610.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0391,Birla Institute of Technology & Science,56.68,34.14,73.06,52.26,34.41,Pilani,Rajasthan,50.53,39,2019,IR-E-U-0391,2014.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0572,Indian Institute of Science Education & Research Kolkata,69.99,41.21,45.09,55.69,24.86,Mohanpur,West Bengal,50.44,40,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0363,Siksha `O` Anusandhan,72.96,21.17,69.84,61.04,20.02,Bhubaneswar,Odisha,50.31,41,2019,IR-E-U-0363,1980.0,1980.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0523,King George`s Medical University,79.82,25.85,61.38,53.38,5.8,Lucknow,Uttar Pradesh,49.91,42,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0027,Osmania University,58.2,24.95,92.09,55.68,9.26,Hyderabad,Telangana,49.86,43,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0184,Indian Institute of Technology Mandi,67.62,28.36,64.56,65.68,11.2,Mandi,Himachal Pradesh,49.4,44,2019,IR-E-U-0184,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),62.13,36.3,65.31,56.58,10.24,Patiala,Punjab,49.27,45,2019,IR-E-I-1480,1480.0,1480.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0355,Indian Institute of Technology Bhubaneswar,64.64,32.91,55.57,57.61,25.99,Bhubaneswar,Odisha,48.73,46,2019,IR-E-U-0355,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0435,Alagappa University,66.72,22.18,71.17,49.75,26.65,Karaikudi,Tamil Nadu,48.54,47,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0056,Tezpur University,66.92,30.1,63.47,50.99,15.71,Tezpur,Assam,48.47,48,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0262,Mahatma Gandhi University,66.49,26.97,72.39,51.98,3.58,Kottayam,Kerala,48.08,49,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0356,Kalinga Institute of Industrial Technology,66.01,18.1,71.7,69.38,14.55,Bhubaneswar,Odisha,47.97,50,2019,IR-E-U-0356,3450.0,3450.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0139,Indian Institute of Technology Gandhinagar,61.95,31.43,56.23,61.6,24.17,Gandhinagar,Gujarat,47.85,51,2019,IR-E-U-0139,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0473,SRM Institute of Science and Technology,56.67,26.51,78.07,58.09,14.26,Chennai,Tamil Nadu,47.8,52,2019,IR-E-U-0473,5220.0,5220.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0237,National Institute of Technology Karnataka,51.32,32.27,71.35,50.89,29.4,Surathkal,Karnataka,47.37,53,2019,IR-E-U-0237,868.0,868.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,73.84,16.57,70.49,55.04,6.15,Chennai,Tamil Nadu,47.34,54,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0222,JSS Academy of Higher Education and Research,70.32,15.74,65.48,70.26,10.24,Mysore,Karnataka,46.97,55,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0331,Tata Institute of Social Sciences,65.17,9.97,79.76,71.16,12.14,Mumbai,Maharashtra,46.82,56,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0446,Bharath Institute of Higher Education & Research,68.09,17.76,64.96,72.53,3.19,Chennai,Tamil Nadu,46.32,57,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
